incnum,offense,offensecode,offensetype,category,year,blockcode,ward,police_shift,day_and_month
100000258,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2025,,,,
100000259,All Other Offenses,90Z,All Other Offenses,Other,2017,,,,
100000260,Simple Assault,13B,Assault Offenses,Crimes against Person,2023,,,,
100000261,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000262,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2022,,,,
100000263,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000264,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2025,,,,
100000265,Simple Assault,13B,Assault Offenses,Crimes against Person,2023,,,,
100000266,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
100000267,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2025,,,,
100000268,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000269,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,,,,
100000270,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2017,,,,
100000271,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2023,,,,
100000272,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2023,,,,
100000273,Simple Assault,13B,Assault Offenses,Crimes against Person,2018,,,,
100000274,Robbery,120,Robbery,Crimes against Property,2023,,,,
100000275,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000276,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2019,,,,
100000277,Simple Assault,13B,Assault Offenses,Crimes against Person,2020,,,,
100000278,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2018,,,,
100000279,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2022,,,,
100000280,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000281,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2018,,,,
100000282,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2019,,,,
100000283,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2018,,,,
100000284,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2024,,,,
100000285,Simple Assault,13B,Assault Offenses,Crimes against Person,2024,,,,
100000286,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2021,,,,
100000287,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2025,,,,
100000288,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2022,,,,
100000289,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2024,,,,
100000290,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2021,,,,
100000291,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2023,,,,
100000292,Pornography/Obscene Material,370,Pornography/Obscene Material,Crimes against Society,2023,,,,
100000293,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,,,,
100000294,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2022,,,,
100000295,Robbery,120,Robbery,Crimes against Property,2022,,,,
100000296,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2025,,,,
100000297,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2019,,,,
100000298,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000299,All Other Offenses,90Z,All Other Offenses,Other,2019,,,,
100000300,All Other Offenses,90Z,All Other Offenses,Other,2025,,,,
100000301,Simple Assault,13B,Assault Offenses,Crimes against Person,2025,,,,
100000302,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,,,,
100000303,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2018,,,,
100000304,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2023,,,,
